iter	Passed	Remaining
0	159	159446
1	163	81794
2	167	55698
3	171	42653
4	174	34698
5	178	29545
6	181	25700
7	185	22982
8	188	20718
9	192	19024
10	195	17548
11	199	16388
12	202	15355
13	205	14485
14	208	13687
15	211	12978
16	213	12324
17	215	11730
18	216	11192
19	218	10709
20	220	10256
21	221	9845
22	222	9467
23	224	9144
24	226	8833
25	227	8527
26	228	8243
27	229	7979
28	231	7743
29	232	7514
30	233	7294
31	234	7088
32	235	6895
33	236	6712
34	237	6539
35	238	6384
36	239	6229
37	240	6080
38	241	5938
39	241	5804
40	242	5677
41	243	5557
42	244	5446
43	245	5336
44	246	5228
45	247	5125
46	247	5025
47	248	4930
48	249	4839
49	250	4751
50	251	4674
51	252	4595
52	252	4518
53	253	4443
54	254	4370
55	255	4301
56	255	4235
57	256	4170
58	257	4107
59	258	4048
60	259	3993
61	260	3936
62	261	3881
63	261	3828
64	262	3776
65	263	3725
66	263	3676
67	264	3628
68	265	3582
69	266	3544
70	267	3502
71	268	3460
72	269	3418
73	269	3378
74	270	3338
75	271	3300
76	272	3262
77	272	3225
78	273	3193
79	274	3162
80	275	3128
81	276	3094
82	276	3058
83	277	3027
84	278	2996
85	279	2966
86	279	2936
87	280	2910
88	281	2883
89	282	2857
90	283	2830
91	284	2803
92	284	2777
93	285	2752
94	286	2727
95	287	2703
96	288	2683
97	289	2662
98	290	2639
99	290	2617
100	291	2594
101	292	2573
102	293	2551
103	293	2531
104	294	2510
105	295	2492
106	296	2473
107	297	2454
108	297	2435
109	298	2416
110	299	2398
111	300	2380
112	300	2362
113	301	2344
114	302	2327
115	303	2312
116	304	2295
117	304	2279
118	305	2263
119	306	2247
120	307	2231
121	307	2215
122	308	2200
123	309	2185
124	310	2170
125	311	2157
126	311	2142
127	312	2128
128	313	2114
129	313	2100
130	314	2087
131	315	2073
132	316	2060
133	316	2048
134	318	2037
135	319	2030
136	320	2018
137	321	2005
138	321	1993
139	322	1981
140	323	1969
141	323	1956
142	324	1946
143	325	1937
144	326	1927
145	327	1916
146	328	1905
147	329	1895
148	330	1885
149	330	1874
150	331	1864
151	332	1854
152	333	1846
153	334	1836
154	335	1827
155	335	1817
156	336	1807
157	337	1798
158	338	1789
159	339	1780
160	340	1773
161	341	1765
162	342	1756
163	342	1747
164	343	1738
165	344	1729
166	345	1721
167	345	1712
168	346	1703
169	347	1697
